numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst,confianza_binaria
265,4,3,4,3,0,10,1
266,3,2,4,3,50,"7,75",0
267,4,3,4,3,50,"9,4375",1
268,4,1,3,3,30,"8,3125",1
270,3,1,4,4,0,"8,3125",1
271,4,1,4,5,30,10,1
272,3,2,6,3,0,"8,875",1
273,4,3,6,3,30,"6,625",0
274,3,3,2,2,0,10,1
275,3,1,4,2,0,"7,75",0
276,1,3,4,1,50,"7,75",0
277,3,1,4,3,0,"7,75",0
278,4,1,2,5,0,10,1
279,3,2,2,1,30,"6,0625",0
280,4,3,4,4,0,10,1
282,3,1,2,3,0,"8,875",1
283,3,3,3,1,30,10,1
285,3,1,2,5,50,"9,4375",1
286,1,3,4,3,0,"8,875",1
287,4,1,2,3,30,"6,625",0
288,4,3,4,4,0,10,1
289,4,3,4,3,30,"9,4375",1
290,3,3,6,2,30,"9,4375",1
291,4,2,4,3,0,"8,875",1
292,3,3,5,4,0,10,1
293,3,3,4,4,30,10,1
294,4,2,6,4,30,"7,1875",0
295,4,3,6,3,30,"6,0625",0
296,3,3,3,3,0,"9,4375",1
297,4,1,6,5,30,10,1
299,4,1,5,3,30,"7,75",0
300,3,1,4,5,0,"6,0625",0
301,3,3,4,5,0,"9,4375",1
302,4,2,4,2,50,10,1
303,4,3,4,3,0,"7,75",0
304,3,1,4,3,30,"8,3125",1
306,4,1,4,4,30,10,1
307,4,3,4,5,0,"9,4375",1
308,3,1,4,4,50,"7,75",0
309,4,1,3,2,50,"8,875",1
311,3,3,2,5,0,"9,4375",1
312,1,1,5,3,0,10,1
313,2,1,6,3,50,"6,625",0
314,3,2,6,5,50,"8,3125",1
316,3,3,4,4,0,"9,4375",1
317,3,1,2,4,0,10,1
318,3,1,4,4,0,"8,875",1
319,3,3,4,5,0,"8,875",1
320,3,1,4,4,30,"8,3125",1
321,3,3,2,3,0,"8,875",1
323,3,3,4,1,0,"6,625",0
326,4,3,2,5,30,10,1
327,3,1,3,3,0,"7,75",0
328,4,3,6,4,0,10,1
329,3,1,4,4,0,"7,75",0
331,2,1,4,4,0,"7,1875",0
332,3,1,4,5,30,"9,4375",1
333,3,1,4,4,0,"9,4375",1
335,4,1,4,3,30,"9,4375",1
336,4,1,4,4,30,"8,875",1
339,4,1,4,4,0,"7,75",0
340,3,3,4,4,0,"9,4375",1
341,3,2,4,3,0,"6,625",0
342,4,2,4,3,0,"8,3125",1
343,3,3,2,4,0,"7,75",0
344,4,3,2,4,0,10,1
345,3,1,4,4,0,"9,4375",1
346,3,1,4,2,0,"9,4375",1
347,3,3,4,3,50,10,1
348,4,1,4,3,0,10,1
349,1,2,3,4,50,"6,625",0
350,4,1,4,3,0,"8,3125",1
351,1,1,6,3,0,"6,0625",0
352,4,3,2,5,0,10,1
353,3,1,5,3,0,10,1
354,1,1,2,3,0,"7,1875",0
355,3,1,3,3,0,"8,875",1
356,3,3,6,2,30,"8,3125",1
357,3,1,4,3,30,"9,4375",1
358,3,1,3,3,0,"8,875",1
359,3,1,6,3,0,"9,4375",1
360,3,1,6,3,30,"8,875",1
361,2,1,4,3,0,10,1
363,4,1,4,4,0,10,1
364,3,1,4,5,30,10,1
365,3,1,4,3,30,10,1
366,1,1,4,3,30,"9,4375",1
367,4,1,4,3,0,10,1
368,3,1,4,3,30,"8,875",1
370,4,1,6,3,0,"8,3125",1
371,3,3,4,4,50,"9,4375",1
372,3,1,4,5,50,"9,4375",1
373,3,1,6,4,0,"8,3125",1
374,3,3,2,1,50,"9,4375",1
375,3,3,4,3,30,"8,3125",1
377,4,3,4,4,30,10,1
378,3,3,2,2,0,"8,875",1
379,4,3,5,3,30,10,1
380,4,3,2,5,0,"9,4375",1
381,4,1,4,4,0,10,1
383,3,3,2,1,30,10,1
384,1,1,2,4,0,"8,3125",1
385,3,1,2,3,0,"8,3125",1
387,3,2,5,4,0,"6,625",0
388,4,3,2,3,50,10,1
389,3,3,6,3,0,"9,4375",1
390,4,3,2,5,30,"8,875",1
391,4,3,5,4,0,1,0
392,3,1,3,1,30,"9,4375",1
394,4,3,4,4,30,10,1
396,4,2,4,4,0,"7,75",0
397,3,3,4,5,0,10,1
398,3,3,4,4,30,"9,4375",1
399,3,1,4,3,30,10,1
401,3,3,3,3,30,"8,3125",1
402,3,3,4,3,0,"9,4375",1
403,1,1,6,3,0,"7,1875",0
404,3,1,3,5,0,"7,1875",0
405,3,3,6,3,0,"8,3125",1
406,4,3,2,4,0,"9,4375",1
407,3,1,4,3,30,"7,1875",0
408,3,1,4,5,0,10,1
409,3,1,2,2,30,"8,875",1
