numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst,confianza_binaria
947,3,1,3,4,0,"7,75",0
948,1,3,3,3,0,"7,75",0
949,3,1,3,4,0,"7,75",0
950,3,1,3,3,0,"8,875",1
951,3,3,3,3,30,"6,625",0
952,3,1,3,3,50,"8,3125",1
953,3,2,3,3,30,"5,5",0
954,2,3,3,2,0,"4,9375",0
956,4,3,3,2,0,"4,375",0
959,3,1,3,4,30,"5,5",0
960,3,1,3,5,0,"8,3125",1
962,1,2,3,3,30,"6,625",0
963,3,1,3,5,50,"7,1875",0
965,1,2,3,4,30,"6,625",0
966,3,1,3,2,30,"7,1875",0
969,1,3,3,2,30,"7,75",0
970,3,3,3,5,30,"6,0625",0
976,3,1,3,5,50,"8,3125",1
977,4,1,3,4,0,"7,75",0
978,3,3,3,3,0,"8,3125",1
979,3,3,3,4,0,"8,875",1
980,4,1,3,5,0,"8,875",1
981,3,3,3,3,0,"7,1875",0
982,3,3,3,3,30,"7,75",0
983,3,1,4,3,0,"8,3125",1
984,3,1,3,3,0,"8,3125",1
985,3,2,3,3,0,"8,3125",1
986,2,2,3,4,30,"8,3125",1
987,3,1,3,3,30,"6,0625",0
988,3,1,3,3,0,"7,75",0
989,2,1,3,5,0,"6,625",0
990,3,1,3,4,0,"9,4375",1
991,3,2,3,1,30,"8,875",1
992,1,1,3,3,70,"7,1875",0
993,4,1,3,3,0,"7,1875",0
995,3,2,3,4,30,"6,625",0
996,1,3,4,1,30,"8,875",1
997,1,1,3,3,30,"6,625",0
998,3,1,3,3,0,"7,1875",0
999,4,1,3,3,0,"7,1875",0
1000,3,1,3,3,0,"7,1875",0
